慰藉	wwjp
术语	uuyu
前端	qmdr
拾级而上	ujeu
互帮互助	hbhv
非黑即白	fhjb
百鬼夜行	bgyx


# RPG
跑团	pctr
超游	icyz
撕卡	sika
房规	fhgv
车卡	ieka
骰子	tzzi
奥术	aouu
咒法	vzfa
短休	drxq
退散	tvsj
塑能	sung
加值	jxvi
专精	vrjk
重载	vszd
巧手	qnuz
先攻	xmgs
位面	wwmm
隐匿	ybni
欺瞒	qimj
威吓	wwhe
术士	uuui
仆役	puyi
捕网	buwh
链枷	ljjx
轻锤	qkiv
巨剑	jujm
巨斧	jufu
骑枪	qiql
魔杖	movh
法杖	favh
法器	faqi
撬棍	qngy
魔宠	moig
检定	jmdk
擒抱	qbbc
推撞	tvil
钝击	dyji
挥砍	hvkj
强酸	qlsr
地精	dijk
力场	liih
折跃	veyt
黯蚀	anui
光耀	glyc
附魔	fumo
失能	uing
魔网	mowh
结界	jpjp
迷锁	miso
目盲	mumh
石化	uihx
力竭	lijp
束缚	uufu
神裔	ufyi
魔裔	moyi
龙裔	lsyi
矮人	airf
侏儒	vuru
兽人	uzrf
巨魔	jumo
奇械	qixp
神器	ugqi
吟游	ybyz
药学	ycxt
锁匠	sojl
邪神	xpuf
话术	hxuu
战技	vjji
险境	xmjk
躁狂	zckl
幕间	mujm
古神	guuf
外神	wduf
模组	mozu
米戈	mige
眷族	jrzu
旧印	jqyk
星界	xkjp
符文	fuwf
触媒	iumw
异界	yijp
异能	ying
异怪	yigk
巨怪	jugk
秘教	mijn
秘修	mixq
奥能	aong
魔能	mong
徽记	hvji
灵能	lkng
神术	ufuu
祈唤	qihr
同调	tstn
洞悉	dsxi
圣疗	ugln
神祐	ufyz
宿敌	sudi
遁术	dyuu
卓尔	voer
雅灵	yalk
板甲	bjjx
触及	iuji
借机	jpji
活化	hohx
紫衫	ziuj
法师	faui
死灵	silk
旧神	jquf
长休	ihxq
守秘人	umrf
调查员	diyr																																																																																			
奖励骰	jltz
惩罚骰	iftz
克苏鲁	kslu
提夫林	tflb
野蛮人	ymrf
游荡者	ydve
圣武士	uwui
圣骑士	uqui
契术师	quui
邪术师	xuui
拉莱耶	llye
食尸鬼	uugv
星之彩	xvcd
阿卡姆	akmu
敦威治	dwvi
死者之书	svvu
吟游诗人	yyur
阿萨托斯	asts
龙与地下城	lydi
奈亚拉托提普	ndya

# 卡牌游戏
卡牌	kapd
手牌	uzpd
卡手	kauz
卡组	kazu
超模	icmo
套牌	tcpd
牌库	pdku
牌组	pdzu
系命	ximk
先攻	xmgs
闪现	ujxm
跃离	ytli
守军	uzjy
返照	fjvc
连击	lmji
延势	yjui
花牌	hxpd
炉石	luui
万智	wjvi
死触	siiu
万智牌	wvpd
鹏洛客	plke
旅法师	lfui

# Symbol
♪	yf
♡	xb
☆	xk
λ	lamb
∀	fora
∃	exi
∃	exis
⇔	iff
⊤	top
⊥	bot
⊥	bott
⇒	then
∵	yw
∴	sy
♂	nj
♀	nv
™	tm
⨯	x
○	qr
