蜜柑	migj
竹子	vuzi
组件	zujm
余裕	yuyu
安利	anli
重置	isvi
周目	vzmu
无印	wuyb
海贼	hdzw
检定	jmdk
钝击	dyji
读心	duxb
矮人	airf
侏儒	vuru
兽人	uzrf
新番	xbfj
锦江	jbjl
声优	ugyz
残念	cjnm
死灵	silk
法师	faui
图鉴	tujm
摇杆	ycgj
高能	gcng
投掷	tzvi
石榴	uilq
护甲	hujx
鸟居	nnju
诨名	hymk
抗性	khxk
钩爪	gzvx
泛用	fjys
羽化	yuhx
社畜	ueiu
仅当	jbdh
性癖	xkpi
信标	xbbn
臭鼬	izyz
维基	wwji
硬核	ykhe
赛博	sdbo
中二	vser
错综	cozs
人设	rfue
现充	xmis
稳态	wftd
成句	igju
矿场	klih
物语	wuyu
唯我	wwwo
地下城	dxig
哔哩哔哩	blbl
量子力学	lzlx
一期一会	yqyh
北落师门	blum
有来有回	ylyh
天神下凡	tuxf
和乐融融	hlrr
同义反复	tyff
自家发电	zjfd
思维导图	swdt
被害妄想	bhwx
太平天国	tptg


# 社会 人文 哲学
规训	gvxy
祛魅	qumw
犬儒	qrru

# 游戏
卡带	kadd
黑魂	hwhy
老滚	lcgy
战锤	vjiv
只狼	vilh
雀魂	qthv
废都	fwdu
任天堂	rtth
二段跳	edtn
明日方舟	mrfv
皇牌空战	hpkv
黑暗之魂	havh
王车易位	wiyw

# Fantasy
泰坦	tdtj
狼人	lhrf
海怪	hdgk
魔戒	mojp
牛头人	ntrf
史莱姆	ulmu
哈利波特	hlbt
塔希里亚	txly

# Programming or Math
常量	ihll
泛型	fjxk
闭包	bibc
终端    vsdr
词法	cifa
内联	nwlm
异步	yibu
后端	hzdr
闭源	biyr
哈希	haxi
丢包	dqbc
回调	hvdn
多态	dotd
遍历	bmli
冗余	rsyu
公钥	gsyc
私钥	siyc
求值	qqvi
线程	xmig
编译器	byqi
当且仅当	dqjd

# Arrow
←	oh
↑	ok
↓	oj
→	ol

# 卖萌
啊呜	aawu
呜呜	wuwu
呜哇	wuwa
欸嘿	eihw
贴贴	tptp

# 颜文字
Ծ‸Ծ	ywz
'◡' ywz
(*╹▽╹*)	ywz
ヾ(๑╹ヮ╹๑)ﾉ"	ywz
(๑•﹏•)	ywz
(▰╹◡╹▰)	ywz
(；▽；)	ywz
❤(。☌ᴗ☌｡)	ywz
٩(╹⌓╹ )۶'	ywz
٩( ๑╹ ꇴ╹)۶	ywz
(⋈◍＞◡＜◍)。✧♡	ywz
(//∇//)	ywz
٩(๑òωó๑)۶	ywz
ʕ•̀ω•́ʔ✧	ywz
(´Д｀;)	ywz
(∩´﹏`∩)	ywz
(´•̥ ̯ •̥`)	ywz
(꒪ꇴ꒪|||) ywz
＼＼\(۶•̀ᴗ•́)۶//／／	ywz
